path,label,method,identity,domain,video
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/e4s/fake/e4s__e4s_id6_id0_0007__000.png,1,e4s,oth:e4s:id6_id0_0007,oth,id6_id0_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_02324__02324.jpg,1,styleclip,fe:styleclip:02324,fe,02324
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_01400__01400.jpg,1,styleclip,fe:styleclip:01400,fe,01400
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_990__990.jpg,1,stargan,fe:stargan:990,fe,990
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/fsgan/fake/fsgan__fsgan_id3_id28_0001__000.png,1,fsgan,oth:fsgan:id3_id28_0001,oth,id3_id28_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_id61_0002__Celeb-real_id31_0002_234.png,1,ddim,efs:ddim:id61_0002,efs,id61_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/hyperreenact/fake/hyperreenact__hyperreenact_id17_id23_0000__000.png,1,hyperreenact,oth:hyperreenact:id17_id23_0000,oth,id17_id23_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/whichfaceisreal/fake/whichfaceisreal__whichfaceisreal_81.png__81.png,1,whichfaceisreal,efs:whichfaceisreal:81.png,efs,81.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_1370__1370.jpg,1,starganv2,fe:starganv2:1370,fe,1370
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_id21_0008__Celeb-real_id28_0001_117.png,1,pixart,oth:pixart:id21_0008,oth,id21_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id28_0002__seed21617.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id28_0002,efs,Fake_from_Celeb-real:id28_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facevid2vid/fake/facevid2vid__facevid2vid_id31_id35_0007__000.png,1,facevid2vid,oth:facevid2vid:id31_id35_0007,oth,id31_id35_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/real/real__896__273.png,0,real,ffc:896,ffc,896
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MRAA/fake/MRAA__896__273.png,1,MRAA,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__896__273.png,1,blendface,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/danet/fake/danet__896__000.png,1,danet,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/e4s/fake/e4s__896__000.png,1,e4s,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facedancer/fake/facedancer__896__273.png,1,facedancer,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/faceswap/fake/faceswap__896__273.png,1,faceswap,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facevid2vid/fake/facevid2vid__896__000.png,1,facevid2vid,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/fomm/fake/fomm__896__000.png,1,fomm,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/fsgan/fake/fsgan__896__273.png,1,fsgan,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/hyperreenact/fake/hyperreenact__896__000.png,1,hyperreenact,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/lia/fake/lia__896__273.png,1,lia,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mcnet/fake/mcnet__896__000.png,1,mcnet,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/one_shot_free/fake/one_shot_free__896__000.png,1,one_shot_free,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pirender/fake/pirender__896__000.png,1,pirender,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/simswap/fake/simswap__896__273.png,1,simswap,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/tpsm/fake/tpsm__896__000.png,1,tpsm,ffc:896,ffc,896_128
