path,label,method,identity,domain,video
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/hyperreenact/fake/hyperreenact__hyperreenact_id24_id26_0004__000.png,1,hyperreenact,oth:hyperreenact:id24_id26_0004,oth,id24_id26_0004
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mcnet/fake/mcnet__mcnet_id38_id30_0006__000.png,1,mcnet,oth:mcnet:id38_id30_0006,oth,id38_id30_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/real/real__645__285.png,0,real,ffc:645,ffc,645
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__645__624_112.png,1,sd2.1,ffc:645,ffc,ff:645
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/e4e/fake/e4e__645__20645.jpg,1,e4e,ffc:645,ffc,ff:645
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__645__285.png,1,mobileswap,ffc:645,ffc,645_688
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mcnet/fake/mcnet__mcnet_id6_id4_0008__000.png,1,mcnet,oth:mcnet:id6_id4_0008,oth,id6_id4_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id27_0003__22706.png,1,SiT,oth:SiT:id27_0003,oth,id27_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/whichfaceisreal/fake/whichfaceisreal__whichfaceisreal_728.png__728.png,1,whichfaceisreal,efs:whichfaceisreal:728.png,efs,728.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Youtube-real_00017__seed1969.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Youtube-real:00017,efs,Fake_from_Youtube-real:00017
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/CollabDiff/fake/CollabDiff__CollabDiff_393__000000_x_0.png,1,CollabDiff,efs:CollabDiff:393,efs,393
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id38_0009__seed23317.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id38_0009,efs,Fake_from_Celeb-real:id38_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_id16_0013__YouTube-real_00089_062.png,1,sd2.1,oth:sd2.1:id16_0013,oth,id16_0013
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__blendface_id34_id38_0004__000.png,1,blendface,oth:blendface:id34_id38_0004,oth,id34_id38_0004
