path,label,method,identity,domain,video
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/wav2lip/fake/wav2lip__wav2lip_id21_0002_0ygtX2nyexo_50010__000.png,1,wav2lip,oth:wav2lip:id21_0002_0ygtX2nyexo_50010,oth,id21_0002_0ygtX2nyexo_50010
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_00293__YouTube-real_00110_431.png,1,ddim,efs:ddim:00293,efs,00293
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_00293__Celeb-real_id46_0009_000.png,1,sd2.1,oth:sd2.1:00293,oth,00293
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_00293__21782.png,1,SiT,oth:SiT:00293,oth,00293
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_00293__00293.jpg,1,styleclip,fe:styleclip:00293,fe,00293
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__DiT_00293__21782.png,1,DiT,oth:DiT:00293,oth,00293
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_00293__Celeb-real_id46_0009_000.png,1,pixart,oth:pixart:00293,oth,00293
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_1162__1162.jpg,1,starganv2,fe:starganv2:1162,fe,1162
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_1162__1162.jpg,1,stargan,fe:stargan:1162,fe,1162
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id21_0009__seed21977.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id21_0009,efs,Fake_from_Celeb-real:id21_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id21_0009__seed21874.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id21_0009,efs,Fake_from_Celeb-real:id21_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_684__684.jpg,1,stargan,fe:stargan:684,fe,684
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/real/real__684__256.png,0,real,ffc:684,ffc,684
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MidJourney/fake/MidJourney__MidJourney_13592447708_Single_person_East_Asian_male_looking_at_the_camera_6864e81e-7eed-426d-9723-eac8ef37bde2.png__13592447708_Single_person_East_Asian_male_looking_at_the_camera_6864e81e-7eed-426d-9723-eac8ef37bde2.png,1,MidJourney,efs:MidJourney:13592447708_Single_person_East_Asian_male_looking_at_the_camera_6864e81e-7eed-426d-9723-eac8ef37bde2.png,efs,13592447708_Single_person_East_Asian_male_looking_at_the_camera_6864e81e-7eed-426d-9723-eac8ef37bde2.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id28_0002__seed21617.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id28_0002,efs,Fake_from_Celeb-real:id28_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id28_0002__seed23801.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id28_0002,efs,Fake_from_Celeb-real:id28_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__448__272.png,1,mobileswap,ffc:448,ffc,448_361
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_ff_851__seed19944.png,1,StyleGAN3,efs:StyleGAN3:ff:851,efs,ff:851
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__851__19244.png,1,DiT,ffc:851,ffc,ff:851
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/RDDM/fake/RDDM__851__sample-19289.png,1,RDDM,ffc:851,ffc,ff:851
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__851__19244.png,1,SiT,ffc:851,ffc,ff:851
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__851__429_176.png,1,pixart,ffc:851,ffc,ff:851
